meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
77.0,Sonic Origins Plus,Switch,"Jun 23, 2023",6.4,/game/switch/sonic-origins-plus,E,['Sega'],"['Miscellaneous', 'Compilation']"
77.0,Etrian Odyssey Origins Collection,Switch,"Jun 1, 2023",7.3,/game/switch/etrian-odyssey-origins-collection,T,['Atlus'],"['Miscellaneous', 'Compilation']"
82.0,The Murder of Sonic the Hedgehog,PC,"Mar 31, 2023",8.6,/game/pc/the-murder-of-sonic-the-hedgehog,E,['Sega'],"['Adventure', 'Visual Novel']"
81.0,Bayonetta Origins: Cereza and the Lost Demon,Switch,"Mar 17, 2023",8.6,/game/switch/bayonetta-origins-cereza-and-the-lost-demon,T,['PlatinumGames'],"['Action Adventure', 'Linear']"
81.0,Company of Heroes 3,PC,"Feb 23, 2023",4.6,/game/pc/company-of-heroes-3,M,['Relic Entertainment'],"['Strategy', 'Real-Time', 'General']"
80.0,Like a Dragon: Ishin!,PS4,"Feb 21, 2023",8.7,/game/playstation-4/like-a-dragon-ishin!,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
80.0,Like a Dragon: Ishin!,PC,"Feb 21, 2023",7.9,/game/pc/like-a-dragon-ishin!,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
81.0,Persona 3 Portable,PC,"Jan 19, 2023",4.7,/game/pc/persona-3-portable,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
86.0,Persona 4 Golden,PS4,"Jan 19, 2023",8.8,/game/playstation-4/persona-4-golden,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
80.0,Persona 3 Portable,PS4,"Jan 19, 2023",6.7,/game/playstation-4/persona-3-portable,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
81.0,Persona 3 Portable,Switch,"Jan 19, 2023",6.7,/game/switch/persona-3-portable,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
90.0,Persona 4 Golden,Switch,"Jan 19, 2023",8.6,/game/switch/persona-4-golden,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
69.0,Sonic Frontiers,Switch,"Nov 8, 2022",8.2,/game/switch/sonic-frontiers,E10+,"['Sega', ' Sonic Team']","['Action Adventure', 'General', 'Open-World', 'Action', 'Platformer', '3D']"
75.0,Sonic Frontiers,PS4,"Nov 8, 2022",8.1,/game/playstation-4/sonic-frontiers,E10+,"['Sega', ' Sonic Team']","['Action Adventure', 'General', 'Open-World', 'Action', 'Platformer', '3D']"
75.0,Sonic Frontiers,PC,"Nov 8, 2022",8.6,/game/pc/sonic-frontiers,E10+,"['Sega', ' Sonic Team']","['Action Adventure', 'General', 'Open-World', 'Action', 'Platformer', '3D']"
